Sex,Sex,School Code,Playing Years,Playing Often,Playing Hours,Playing Games,Parent Revenue,Father Education,Mother Education,Grade,percentage,Error Check,Percentage
0,Female,4,0,0,0,0,1,3,2,70,"7000,00%",OK,70.00%
0,Female,4,0,0,0,0,1,4,5,85,"8500,00%",OK,85.00%
1,Male,4,3,2,2,1,2,4,4,85,"8500,00%",OK,85.00%
1,Male,4,2,4,2,1,2,6,5,75,"7500,00%",OK,75.00%
1,Male,4,4,1,4,1,3,4,4,98,"9800,00%",OK,98.00%
1,Male,4,4,2,1,1,3,4,3,99,"9900,00%",OK,99.00%
1,Male,4,4,1,1,1,2,5,5,87,"8700,00%",OK,87.00%
1,Male,4,2,1,2,1,2,2,4,82,"8200,00%",OK,82.00%
0,Female,4,4,3,3,1,2,4,4,70,"7000,00%",OK,70.00%
1,Male,4,1,1,3,1,1,4,4,50,"5000,00%",OK,50.00%
1,Male,4,3,5,5,1,2,3,2,60,"6000,00%",OK,60.00%
1,Male,4,3,1,5,1,4,3,3,70,"7000,00%",OK,70.00%
1,Male,4,1,2,2,1,1,2,2,42.5,"4250,00%",OK,42.50%
1,Male,4,1,2,1,1,2,5,5,76,"7600,00%",OK,76.00%
1,Male,4,1,2,3,1,3,5,3,92.5,"9250,00%",OK,92.50%
1,Male,4,1,4,1,1,2,4,4,40,"4000,00%",OK,40.00%
1,Male,4,4,1,2,1,3,3,4,60,"6000,00%",OK,60.00%
1,Male,4,4,3,3,1,1,3,3,70,"7000,00%",OK,70.00%
0,Female,4,2,2,2,1,1,3,3,60,"6000,00%",OK,60.00%
1,Male,4,4,1,4,1,2,3,4,90,"9000,00%",OK,90.00%
0,Female,4,0,0,0,0,1,4,2,50,"5000,00%",OK,50.00%
1,Male,4,1,1,2,1,2,4,4,50,"5000,00%",OK,50.00%
1,Male,4,3,5,2,1,3,6,4,80.5,"8050,00%",OK,80.50%
0,Female,4,1,5,2,1,1,2,2,75,"7500,00%",OK,75.00%
1,Male,4,2,5,3,1,3,6,5,99,"9900,00%",OK,99.00%
1,Male,4,4,1,5,1,4,5,4,83.5,"8350,00%",OK,83.50%
0,Female,4,1,5,1,1,3,4,5,75,"7500,00%",OK,75.00%
0,Female,4,2,2,1,1,3,4,4,70,"7000,00%",OK,70.00%
1,Male,4,1,5,1,1,1,3,1,50.6,"5060,00%",OK,50.60%
1,Male,4,4,1,5,1,2,5,3,70,"7000,00%",OK,70.00%
0,Female,4,1,3,2,1,1,3,4,53,"5300,00%",OK,53.00%
0,Female,4,1,5,1,1,3,5,4,97.5,"9750,00%",OK,97.50%
0,Female,4,4,5,1,1,2,2,3,67,"6700,00%",OK,67.00%
1,Male,4,4,5,5,1,2,4,4,88,"8800,00%",OK,88.00%
0,Female,4,1,5,1,1,2,4,3,90,"9000,00%",OK,90.00%
0,Female,4,0,0,0,0,2,4,5,90,"9000,00%",OK,90.00%
0,Female,4,1,3,2,1,1,5,2,50,"5000,00%",OK,50.00%
1,Male,4,1,5,3,1,2,5,4,89,"8900,00%",OK,89.00%
1,Male,4,3,1,2,1,3,5,3,95,"9500,00%",OK,95.00%
1,Male,4,4,1,3,1,2,3,4,75,"7500,00%",OK,75.00%
0,Female,4,2,1,2,1,2,3,4,60,"6000,00%",OK,60.00%
0,Female,4,2,3,1,1,3,4,5,98,"9800,00%",OK,98.00%
0,Female,4,1,5,1,1,2,4,4,95,"9500,00%",OK,95.00%
1,Male,4,4,5,3,1,3,5,5,91,"9100,00%",OK,91.00%
1,Male,4,2,5,2,1,3,4,4,55,"5500,00%",OK,55.00%
0,Female,4,2,5,1,1,3,5,4,89.5,"8950,00%",OK,89.50%
1,Male,4,1,5,1,1,3,3,3,90,"9000,00%",OK,90.00%
1,Male,4,3,3,2,1,3,4,2,55.5,"5550,00%",OK,55.50%
1,Male,4,2,5,2,1,2,4,4,75,"7500,00%",OK,75.00%
1,Male,4,1,5,2,1,3,6,6,92.5,"9250,00%",OK,92.50%
1,Male,4,4,5,2,1,2,3,4,93,"9300,00%",OK,93.00%
1,Male,4,1,3,2,1,2,5,3,93,"9300,00%",OK,93.00%
1,Male,4,3,1,4,1,2,5,5,80,"8000,00%",OK,80.00%
1,Male,4,4,1,4,1,2,4,4,50,"5000,00%",OK,50.00%
0,Female,4,0,0,0,0,1,4,4,62,"6200,00%",OK,62.00%
1,Male,4,1,5,1,1,2,4,4,96.5,"9650,00%",OK,96.50%
0,Female,4,2,4,2,1,2,4,4,50,"5000,00%",OK,50.00%
0,Female,4,0,0,0,0,1,3,3,55,"5500,00%",OK,55.00%
1,Male,4,3,4,2,1,3,5,4,75,"7500,00%",OK,75.00%
0,Female,4,0,0,0,0,3,5,4,86,"8600,00%",OK,86.00%
1,Male,4,3,1,2,1,3,5,4,52,"5200,00%",OK,52.00%
0,Female,4,0,0,0,0,2,4,4,85,"8500,00%",OK,85.00%
1,Male,4,4,3,1,1,4,3,4,80,"8000,00%",OK,80.00%
